宁夏电信-组播1,#genre#

CCTV1,http://111.113.88.199:2000/rtp/239.121.4.113:8636
CCTV2,http://111.113.88.199:2000/rtp/239.121.4.155:8914
CCTV3,http://111.113.88.199:2000/rtp/239.121.4.151:8890
CCTV4美洲,http://111.113.88.199:2000/rtp/239.121.4.124:8002
CCTV4欧洲,http://111.113.88.199:2000/rtp/239.121.4.123:8000
CCTV4,http://111.113.88.199:2000/rtp/239.121.4.134:8786
CCTV5,http://111.113.88.199:2000/rtp/239.121.4.140:8852
CCTV6,http://111.113.88.199:2000/rtp/239.121.4.153:8902
CCTV7,http://111.113.88.199:2000/rtp/239.121.4.156:8920
CCTV8,http://111.113.88.199:2000/rtp/239.121.4.154:8908
CCTV9,http://111.113.88.199:2000/rtp/239.121.4.157:8926
CCTV10,http://111.113.88.199:2000/rtp/239.121.4.158:8932
CCTV11,http://111.113.88.199:2000/rtp/239.121.4.150:9202
CCTV12,http://111.113.88.199:2000/rtp/239.121.4.159:8938
CCTV13,http://111.113.88.199:2000/rtp/239.121.4.13:8028
CCTV14,http://111.113.88.199:2000/rtp/239.121.4.160:8944
CCTV15,http://111.113.88.199:2000/rtp/239.121.4.202:9208
CCTV16,http://111.113.88.199:2000/rtp/239.121.4.122:8008
CCTV17,http://111.113.88.199:2000/rtp/239.121.4.61:8340
CETV2,http://111.113.88.199:2000/rtp/239.121.4.60:8334
CETV4,http://111.113.88.199:2000/rtp/239.121.4.199:9178
CETV1,http://111.113.88.199:2000/rtp/239.121.4.180:9064
CGTN阿拉伯语,http://111.113.88.199:2000/rtp/239.121.4.207:8026
CGTN俄语,http://111.113.88.199:2000/rtp/239.121.4.208:8030
CGTN法语,http://111.113.88.199:2000/rtp/239.121.4.206:8024
CGTN西班牙语,http://111.113.88.199:2000/rtp/239.121.4.137:8020
CGTN英文纪录,http://111.113.88.199:2000/rtp/239.121.4.136:8018
CGTN英语,http://111.113.88.199:2000/rtp/239.121.4.125:8014
IPTV谍战剧场,http://111.113.88.199:2000/rtp/239.121.4.170:9004
IPTV法治,http://111.113.88.199:2000/rtp/239.121.4.185:9094
IPTV经典电影,http://111.113.88.199:2000/rtp/239.121.4.172:9016
IPTV魅力时尚,http://111.113.88.199:2000/rtp/239.121.4.85:8484
IPTV热播剧场,http://111.113.88.199:2000/rtp/239.121.4.171:9010
IPTV少儿动画,http://111.113.88.199:2000/rtp/239.121.4.87:8496
IPTV相声小品,http://111.113.88.199:2000/rtp/239.121.4.186:9100
IPTV野外,http://111.113.88.199:2000/rtp/239.121.4.182:9076
安徽卫视,http://111.113.88.199:2000/rtp/239.121.4.161:8950
北京卫视,http://111.113.88.199:2000/rtp/239.121.4.117:8684
兵团卫视,http://111.113.88.199:2000/rtp/239.121.4.195:9154
财富天下,http://111.113.88.199:2000/rtp/239.121.4.181:9070
城市剧场,http://111.113.88.199:2000/rtp/239.121.4.173:9022
导视,http://111.113.88.199:2000/rtp/239.121.4.89:8508
地理,http://111.113.88.199:2000/rtp/239.121.4.82:8466
东方财经,http://111.113.88.199:2000/rtp/239.121.4.71:8400
东方卫视,http://111.113.88.199:2000/rtp/239.121.4.109:8636
东南卫视,http://111.113.88.199:2000/rtp/239.121.4.102:9226
动画,http://111.113.88.199:2000/rtp/239.121.4.166:8980
动漫秀场,http://111.113.88.199:2000/rtp/239.121.4.74:8418
动作影院,http://111.113.88.199:2000/rtp/239.121.4.177:9046
都市剧场,http://111.113.88.199:2000/rtp/239.121.4.62:8346
法治天地,http://111.113.88.199:2000/rtp/239.121.4.70:8394
甘肃卫视,http://111.113.88.199:2000/rtp/239.121.4.25:8124
高网,http://111.113.88.199:2000/rtp/239.121.4.192:9136
古装剧场,http://111.113.88.199:2000/rtp/239.121.4.175:9034
光影,http://111.113.88.199:2000/rtp/239.121.4.84:8478
广东卫视,http://111.113.88.199:2000/rtp/239.121.4.118:8690
广西卫视,http://111.113.88.199:2000/rtp/239.121.4.47:8256
贵州卫视,http://111.113.88.199:2000/rtp/239.121.4.65:8364
国学,http://111.113.88.199:2000/rtp/239.121.4.81:8460
哈哈炫动,http://111.113.88.199:2000/rtp/239.121.4.51:8280
海南卫视,http://111.113.88.199:2000/rtp/239.121.4.50:8274
好学生,http://111.113.88.199:2000/rtp/239.121.4.197:9166
河北卫视,http://111.113.88.199:2000/rtp/239.121.4.76:8430
河南卫视,http://111.113.88.199:2000/rtp/239.121.4.40:8214
黑龙江,http://111.113.88.199:2000/rtp/239.121.4.120:8702
湖北卫视,http://111.113.88.199:2000/rtp/239.121.4.126:8738
湖南卫视,http://111.113.88.199:2000/rtp/239.121.4.114:8666
欢笑剧场,http://111.113.88.199:2000/rtp/239.121.4.64:8358
吉林卫视,http://111.113.88.199:2000/rtp/239.121.4.43:8232
纪实,http://111.113.88.199:2000/rtp/239.121.4.164:8968
家庭影院,http://111.113.88.199:2000/rtp/239.121.4.80:8454
家有购物,http://111.113.88.199:2000/rtp/239.121.4.96:8550
嘉佳卡通,http://111.113.88.199:2000/rtp/239.121.4.79:8448
鉴赏,http://111.113.88.199:2000/rtp/239.121.4.184:9088
江苏卫视,http://111.113.88.199:2000/rtp/239.121.4.115:8672
